Date,Symbol,Type,Qty,Price,Total_Amount,Broker_Fee,Capital_Gain_Tax,Net_Amount,Remarks
2025-07-31,DHEL,BUY,10,100.0,1000.0,0,0,1000.0,Migrated Buy
2026-01-04,DHEL,SELL,10,592.2,5509.18,0,0,5509.18,IPO SEll
2025-08-27,BANDIPUR,BUY,10,100.0,1000.0,0,0,1000.0,Migrated Buy
2026-01-04,BANDIPUR,SELL,10,791.2,7343.03,0,0,7343.03,IPO Sell Maybe Hold Long
2026-01-20,TPC,BUY,10,375.995375,3759.95,0,0,3759.95,Migrated Buy
2026-01-29,TPC,SELL,10,386.5,3820.59,0,0,3820.59,After Loss i Chased BE
2026-01-29,KKHC,BUY,20,249.97925,4999.58,0,0,4999.58,Migrated Buy
2026-02-05,KKHC,SELL,20,248.0,4916.4,0,0,4916.4,Gamble failed so i chsed BE and sold immediately always do partial Sold
2026-01-29,NHPC,BUY,10,224.88549999999995,2248.85,0,0,2248.85,Migrated Buy
2026-02-11,NHPC,SELL,10,221.3,2177.67,0,0,2177.67,Partial sold at Best BE
